cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
1,RATABARI,1,BIJOY MALAKAR,Bharatiya Janata Party,46890,0,46890,55.74
1,RATABARI,2,SAMBHU SING MALLAH,Indian National Congress,35179,0,35179,41.82
1,RATABARI,3,SANCHITA SUKLA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),427,0,427,0.51
1,RATABARI,4,DIPENDRA DAS,Independent,109,0,109,0.13
1,RATABARI,5,BIKASH LAL DHUBI,Independent,151,0,151,0.18
1,RATABARI,6,BISHNU DHARI MALAH,Independent,137,0,137,0.16
1,RATABARI,7,BEBUL DAS,Independent,205,0,205,0.24
1,RATABARI,8,SUJIT ROY,Independent,351,0,351,0.42
1,RATABARI,9,NOTA,None of the Above,670,0,670,0.8
2,PATHARKANDI,1,KRISHNENDU PAUL,Bharatiya Janata Party,38806,0,38806,45.67
2,PATHARKANDI,2,SACHIN SAHOO,Indian National Congress,43344,0,43344,51.02
2,PATHARKANDI,3,SABBIR AHMED,Asom Gana Parishad,298,0,298,0.35
2,PATHARKANDI,4,JAYANTA SINHA,Republican Party of India,98,0,98,0.12
2,PATHARKANDI,5,NURUL ISLAM,All India Forward Bloc,44,0,44,0.05
2,PATHARKANDI,6,BULU CHANDA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),41,0,41,0.05
2,PATHARKANDI,7,MD. BAHAR UDDIN,Rashtriya Ulama Council,52,0,52,0.06
2,PATHARKANDI,8,HUMAYUN KABIR,Assam Jatiya Parishad,140,0,140,0.16
2,PATHARKANDI,9,IBRAHIM ALI,Independent,108,0,108,0.13
2,PATHARKANDI,10,YEAFUS ALI,Independent,65,0,65,0.08
2,PATHARKANDI,11,CHANDAN DAS,Independent,59,0,59,0.07
2,PATHARKANDI,12,YASHOBANTA KUAMR DAS,Independent,80,0,80,0.09
2,PATHARKANDI,13,SANJOY KUMAR MALAKAR,Independent,99,0,99,0.12
2,PATHARKANDI,14,SAHIN UZ JAMAN,Independent,389,0,389,0.46
2,PATHARKANDI,15,SHIHAB UDDIN AHMED,Independent,621,0,621,0.73
2,PATHARKANDI,16,NOTA,None of the Above,718,0,718,0.85
3,KARIMGANJ NORTH,1,KAMALAKHYA DEY PURKAYASTHA,Indian National Congress,37194,623,37817,40.45
3,KARIMGANJ NORTH,2,DR MANASH DAS,Bharatiya Janata Party,29346,809,30155,32.26
3,KARIMGANJ NORTH,3,AHAD UDDIN,Rashtriya Ulama Council,172,2,174,0.19
3,KARIMGANJ NORTH,4,GOPAL CHANDRA PAUL,Samajwadi Party,52,0,52,0.06
3,KARIMGANJ NORTH,5,NAZRUL ISLAM CHOUDHURY,All India Forward Bloc,435,6,441,0.47
3,KARIMGANJ NORTH,6,SUJIT KUMAR PAUL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),96,4,100,0.11
3,KARIMGANJ NORTH,7,ABDUL JABBAR CHOUDHURY,Independent,81,1,82,0.09
3,KARIMGANJ NORTH,8,JAKIR HUSSAIN,Independent,381,1,382,0.41
3,KARIMGANJ NORTH,9,MD JUBAIR AHMED CHOUDHURY,Independent,79,4,83,0.09
3,KARIMGANJ NORTH,10,DEBAJYOTI DEB ROY (SUJAN),Independent,363,16,379,0.41
3,KARIMGANJ NORTH,11,NAZIM UDDIN KHAN,Independent,276,1,277,0.3
3,KARIMGANJ NORTH,12,MOHAMMAD ABDUL BATIN,Independent,58,0,58,0.06
3,KARIMGANJ NORTH,13,RUHUL QUDDUS,Independent,78,1,79,0.08
3,KARIMGANJ NORTH,14,LUTFUR RAHMAN,Independent,330,1,331,0.35
3,KARIMGANJ NORTH,15,SAHABUL ISLAM CHOUDHURY,Independent,22142,128,22270,23.82
3,KARIMGANJ NORTH,16,NOTA,None of the Above,801,8,809,0.87
4,KARIMGANJ SOUTH,1,AZIZ AHMED KHAN,Asom Gana Parishad,15358,0,15358,41.48
4,KARIMGANJ SOUTH,2,SIDDEQUE AHMED,Indian National Congress,20225,0,20225,54.62
4,KARIMGANJ SOUTH,3,PRONAB KUMAR ROY,Rashtriya Lok Samta Party,220,0,220,0.59
4,KARIMGANJ SOUTH,4,ABU SUFIAN,Independent,32,0,32,0.09
4,KARIMGANJ SOUTH,5,ABDUL BASIT,Independent,26,0,26,0.07
4,KARIMGANJ SOUTH,6,SUFIAN AHMED,Independent,179,0,179,0.48
4,KARIMGANJ SOUTH,7,JAHARUL HAQUE,Independent,32,0,32,0.09
4,KARIMGANJ SOUTH,8,FORZAN KHAN,Independent,29,0,29,0.08
4,KARIMGANJ SOUTH,9,FAIZ AHMED,Independent,42,0,42,0.11
4,KARIMGANJ SOUTH,10,BIMAL KRISHNA DAS,Independent,112,0,112,0.3
4,KARIMGANJ SOUTH,11,BILAL AHMED,Independent,37,0,37,0.1
4,KARIMGANJ SOUTH,12,RAJESH DEY PURKAYASTHA,Independent,54,0,54,0.15
4,KARIMGANJ SOUTH,13,SHAMIM AHMED CHOUDHURY,Independent,55,0,55,0.15
4,KARIMGANJ SOUTH,14,SAYED ALI AHMED,Independent,96,0,96,0.26
4,KARIMGANJ SOUTH,15,HUSSAIN AHMED,Independent,254,0,254,0.69
4,KARIMGANJ SOUTH,16,NOTA,None of the Above,278,0,278,0.75
5,BADARPUR,1,ABDUL AZIZ,All India United Democratic Front,47683,544,48227,55.13
5,BADARPUR,2,BISWARUP BHATTACHARJEE,Bharatiya Janata Party,34615,535,35150,40.18
5,BADARPUR,3,NIZAM UDDIN,Rashtriya Ulama Council,188,3,191,0.22
