cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
1,MANJESHWAR,1,A K M ASHRAF,Indian Union Muslim League,65190,568,65758,38.14
1,MANJESHWAR,2,V V RAMESHAN,Communist Party of India  (Marxist),40098,541,40639,23.57
1,MANJESHWAR,3,K SURENDRAN,Bharatiya Janata Party,64000,1013,65013,37.7
1,MANJESHWAR,4,PRAVEEN KUMAR S,Anna Democratic Human Rights Movement Party of India,250,1,251,0.15
1,MANJESHWAR,5,JOHN D SOUZA I,Independent,180,1,181,0.1
1,MANJESHWAR,6,SURENDRAN M S/o PADMAVATHI M,Independent,196,1,197,0.11
1,MANJESHWAR,7,NOTA,None of the Above,387,0,387,0.22
2,KASARAGOD,1,N A NELLIKKUNNU,Indian Union Muslim League,62824,472,63296,43.8
2,KASARAGOD,2,VIJAYA K P,Bahujan Samaj Party,664,15,679,0.47
2,KASARAGOD,3,ADV K SHREEKANTH,Bharatiya Janata Party,49737,658,50395,34.88
2,KASARAGOD,4,RANJITH RAJ M,Anna Democratic Human Rights Movement Party of India,545,10,555,0.38
2,KASARAGOD,5,M A LATHEEF,Indian National League,28028,295,28323,19.6
2,KASARAGOD,6,NISHANTH KUMAR I B,Independent,412,5,417,0.29
2,KASARAGOD,7,SUDHAKARAN K,Independent,192,4,196,0.14
2,KASARAGOD,8,NOTA,None of the Above,629,10,639,0.44
3,UDMA,1,C H KUNHAMBU,Communist Party of India  (Marxist),76733,1931,78664,47.58
3,UDMA,2,BALAKRISHNAN PERIYE,Indian National Congress,64117,1225,65342,39.52
3,UDMA,3,A VELAYUDHAN,Bharatiya Janata Party,19978,382,20360,12.31
3,UDMA,4,GOVINDAN B ALINTHAZE,Ambedkarite Party of India,189,5,194,0.12
3,UDMA,5,KUNHAMBU K  S/o Kuttappan K C,Independent,134,6,140,0.08
3,UDMA,6,RAMESHAN K,Independent,204,3,207,0.13
3,UDMA,7,NOTA,None of the Above,430,4,434,0.26
4,KANHANGAD,1,E CHANDRASHEKARAN,Communist Party of India,82189,2426,84615,50.72
4,KANHANGAD,2,BALRAJ,Bharatiya Janata Party,21119,451,21570,12.93
4,KANHANGAD,3,P V SURESH,Indian National Congress,56112,1364,57476,34.45
4,KANHANGAD,4,ABDUL SAMAD. T S/o T KUNHAMU HAJI,SOCIAL DEMOCRATIC PARTY OF INDIA,774,1,775,0.46
4,KANHANGAD,5,T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Janata Dal  (United),86,1,87,0.05
4,KANHANGAD,6,RESHMA KARIVEDAKAM,Anna Democratic Human Rights Movement Party of India,181,4,185,0.11
4,KANHANGAD,7,AUGUSTIN,Independent,495,37,532,0.32
4,KANHANGAD,8,KRISHNAN PARAPPACHAL,Independent,347,10,357,0.21
4,KANHANGAD,9,MANOJ THOMAS,Independent,93,12,105,0.06
4,KANHANGAD,10,SREENATH SASI. T C V,Independent,218,1,219,0.13
4,KANHANGAD,11,SURESH. B C S/o CHENIYAN NAIK,Independent,276,1,277,0.17
4,KANHANGAD,12,NOTA,None of the Above,620,17,637,0.38
5,TRIKARIPUR,1,M RAJAGOPALAN,Communist Party of India  (Marxist),82556,0,82556,53.42
5,TRIKARIPUR,2,SHIBIN T V,Bharatiya Janata Party,10621,0,10621,6.87
5,TRIKARIPUR,3,M P JOSEPH,Kerala Congress,58200,0,58200,37.66
5,TRIKARIPUR,4,T MAHESH MASTER,Welfare Party Of India,799,0,799,0.52
5,TRIKARIPUR,5,LIYAKATHALI P,SOCIAL DEMOCRATIC PARTY OF INDIA,1188,0,1188,0.77
5,TRIKARIPUR,6,SUDHAN VELLARIKKUND,Anna Democratic Human Rights Movement Party of India,104,0,104,0.07
5,TRIKARIPUR,7,JOY JOHN,Independent,352,0,352,0.23
5,TRIKARIPUR,8,M V JOSEPH,Independent,192,0,192,0.12
5,TRIKARIPUR,9,NOTA,None of the Above,521,0,521,0.34
6,PAYYANNUR,1,M PRADEEP KUMAR,Indian National Congress,42723,1192,43915,29.29
6,PAYYANNUR,2,T  I MADHUSOODANAN,Communist Party of India  (Marxist),89909,3786,93695,62.49
6,PAYYANNUR,3,Adv  K K SREEDHARAN,Bharatiya Janata Party,11048,260,11308,7.54
6,PAYYANNUR,4,ABHILASH K V,Independent,334,7,341,0.23
6,PAYYANNUR,5,NOTA,None of the Above,653,33,686,0.46
7,KALLIASSERI,1,ARUN KAITHAPRAM,Bharatiya Janata Party,11135,230,11365,7.81
7,KALLIASSERI,2,ADV. BRIJESH KUMAR,Indian National Congress,42785,1074,43859,30.13
7,KALLIASSERI,3,M VIJIN,Communist Party of India  (Marxist),85304,2948,88252,60.62
7,KALLIASSERI,4,FAIZAL MADAYI,Welfare Party Of India,1141,28,1169,0.8
7,KALLIASSERI,5,BRIJESHKUMAR M.  S/o AMBU,Independent,272,2,274,0.19
7,KALLIASSERI,6,NOTA,None of the Above,647,19,666,0.46
8,TALIPARAMBA,1,M V GOVINDAN MASTER,Communist Party of India  (Marxist),89248,3622,92870,52.14
8,TALIPARAMBA,2,A P GANGADHARAN,Bharatiya Janata Party,12737,321,13058,7.33
