cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
1,Gummidipoondi,1,T.M.Anbarasan,Dravida Munnetra Kazhagam,5800,0,5800,48.74
1,Gummidipoondi,2,B.Valarmathi,All India Anna Dravida Munnetra Kazhagam,3745,0,3745,31.47
1,Gummidipoondi,3,N.Raja,Desiya Makkal Sakthi Katchi,9,0,9,0.08
1,Gummidipoondi,4,G Kamalakannan,Tamil Nadu Ilangyar Katchi,56,0,56,0.47
1,Gummidipoondi,5,Dr.R.Karthikeyan,Naam Tamilar Katchi,970,0,970,8.15
1,Gummidipoondi,6,Sarathbabu,Makkal Needhi Maiam,1068,0,1068,8.97
1,Gummidipoondi,7,Subashree,Anaithu Makkal Arasiyal Katchi,6,0,6,0.05
1,Gummidipoondi,8,Dr.R.Suresh,Bhartiya Manavadhikaar Federal Party,3,0,3,0.03
1,Gummidipoondi,9,M Mohammed Thameem Ansari,SOCIAL DEMOCRATIC PARTY OF INDIA,70,0,70,0.59
1,Gummidipoondi,10,Rajesh Chinnadurai,National Democratic Party of South India,1,0,1,0.01
1,Gummidipoondi,11,J.Vincent,Republican Party of India (Athawale),4,0,4,0.03
1,Gummidipoondi,12,E.Anbarasu,Independent,10,0,10,0.08
1,Gummidipoondi,13,S.Anbarasu,Independent,4,0,4,0.03
1,Gummidipoondi,14,M Anbarasu,Independent,10,0,10,0.08
1,Gummidipoondi,15,M.Ashok Kumar,Independent,4,0,4,0.03
1,Gummidipoondi,16,Ali Mohamed,Independent,13,0,13,0.11
1,Gummidipoondi,17,A.Abrahamlincon,Independent,8,0,8,0.07
1,Gummidipoondi,18,P.Sathiyaraj,Independent,10,0,10,0.08
1,Gummidipoondi,19,K Saravanan,Independent,2,0,2,0.02
1,Gummidipoondi,20,C Saravanan,Independent,1,0,1,0.01
1,Gummidipoondi,21,S.V.Saravanan,Independent,2,0,2,0.02
1,Gummidipoondi,22,Nithyanandham S,Independent,1,0,1,0.01
1,Gummidipoondi,23,B Raji,Independent,1,0,1,0.01
1,Gummidipoondi,24,M.Valarmathi,Independent,11,0,11,0.09
1,Gummidipoondi,25,S.Sridhar,Independent,7,0,7,0.06
1,Gummidipoondi,26,NOTA,None of the Above,85,0,85,0.71
2,Ponneri,1,T.M.Anbarasan,Dravida Munnetra Kazhagam,5800,0,5800,48.74
2,Ponneri,2,B.Valarmathi,All India Anna Dravida Munnetra Kazhagam,3745,0,3745,31.47
2,Ponneri,3,N.Raja,Desiya Makkal Sakthi Katchi,9,0,9,0.08
2,Ponneri,4,G Kamalakannan,Tamil Nadu Ilangyar Katchi,56,0,56,0.47
2,Ponneri,5,Dr.R.Karthikeyan,Naam Tamilar Katchi,970,0,970,8.15
2,Ponneri,6,Sarathbabu,Makkal Needhi Maiam,1068,0,1068,8.97
2,Ponneri,7,Subashree,Anaithu Makkal Arasiyal Katchi,6,0,6,0.05
2,Ponneri,8,Dr.R.Suresh,Bhartiya Manavadhikaar Federal Party,3,0,3,0.03
2,Ponneri,9,M Mohammed Thameem Ansari,SOCIAL DEMOCRATIC PARTY OF INDIA,70,0,70,0.59
2,Ponneri,10,Rajesh Chinnadurai,National Democratic Party of South India,1,0,1,0.01
2,Ponneri,11,J.Vincent,Republican Party of India (Athawale),4,0,4,0.03
2,Ponneri,12,E.Anbarasu,Independent,10,0,10,0.08
2,Ponneri,13,S.Anbarasu,Independent,4,0,4,0.03
