cid,cname,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,PctVotes
1,Mekliganj,1,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,98790,548,99338,49.98
1,Mekliganj,2,GOBINDA CHANDRA ROY,All India Forward Bloc,6758,95,6853,3.45
1,Mekliganj,3,JYOTISH ROY,Bahujan Samaj Party,1019,6,1025,0.52
1,Mekliganj,4,DADHIRAM RAY,Bharatiya Janata Party,83991,662,84653,42.59
1,Mekliganj,5,KUKIL ADHIKARY,Kamatapur People’s Party (United),789,5,794,0.4
1,Mekliganj,6,CHINU ROY BARMAN,Amra Bangalee,396,4,400,0.2
1,Mekliganj,7,RANJIT KUMAR ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1761,7,1768,0.89
1,Mekliganj,8,GOLAPI ROY,Independent,508,3,511,0.26
1,Mekliganj,9,SUBHASH BARMAN,Independent,953,2,955,0.48
1,Mekliganj,10,NOTA,None of the Above,2442,5,2447,1.23
2,Mathabhanga,1,Ashok Barman,Communist Party of India  (Marxist),7553,165,7718,3.6
2,Mathabhanga,2,Girindra Nath Barman,All India Trinamool Congress,86470,645,87115,40.67
2,Mathabhanga,3,Sushil Barman,Bharatiya Janata Party,112146,1103,113249,52.87
2,Mathabhanga,4,Kangsa Raj Barman,Kamatapur People’s Party (United),1282,7,1289,0.6
2,Mathabhanga,5,Bikash Barman,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),582,7,589,0.27
2,Mathabhanga,6,Ratan Barman,Amra Bangalee,481,5,486,0.23
2,Mathabhanga,7,Animesh Mohanta,Independent,1144,3,1147,0.54
2,Mathabhanga,8,Haradhan Roy,Independent,1166,1,1167,0.54
2,Mathabhanga,9,NOTA,None of the Above,1431,12,1443,0.67
3,COOCHBEHAR UTTAR,1,NAGENDRA NATH ROY,All India Forward Bloc,11232,243,11475,4.7
3,COOCHBEHAR UTTAR,2,BINAY KRISHNA BARMAN,All India Trinamool Congress,104823,1045,105868,43.4
3,COOCHBEHAR UTTAR,3,SUKUMAR ROY,Bharatiya Janata Party,118656,1827,120483,49.4
3,COOCHBEHAR UTTAR,4,ANIL CHANDRA ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1375,11,1386,0.57
3,COOCHBEHAR UTTAR,5,GOPAL ROY,Amra Bangalee,620,8,628,0.26
